transaction_id,timestamp,sender_account,receiver_account,amount,transaction_type,device_id,ip_address,is_fraud
TXN-0000000,2026-03-01T09:00:00,ACC-00409,ACC-00274,6210.52,CARD,device-0107,103.12.36.84,0
TXN-0000001,2026-03-01T09:00:45,ACC-00435,ACC-00329,416.09,CRYPTO,device-0091,103.108.124.156,0
TXN-0000002,2026-03-01T09:01:30,ACC-00320,ACC-00080,8010.74,CRYPTO,device-0056,103.71.13.97,0
TXN-0000003,2026-03-01T09:02:15,ACC-00231,ACC-00488,2922.56,NET_BANKING,device-0050,103.116.148.12,0
TXN-0000004,2026-03-01T09:03:00,ACC-00281,ACC-00142,3278.96,UPI,device-0069,103.126.178.82,0
TXN-0000005,2026-03-01T09:03:45,ACC-00039,ACC-00172,2453.0,NET_BANKING,device-0020,103.107.121.149,0
TXN-0000006,2026-03-01T09:04:30,ACC-00042,ACC-00606,758.94,CARD,device-0111,103.96.88.72,0
TXN-0000007,2026-03-01T09:05:15,ACC-00486,ACC-00227,1242.72,CARD,device-0062,103.6.18.42,0
TXN-0000008,2026-03-01T09:06:00,ACC-00464,ACC-00426,649.08,CRYPTO,device-0093,103.52.156.164,0
TXN-0000009,2026-03-01T09:06:45,ACC-00604,ACC-00565,1971.23,CARD,device-0009,103.66.198.62,0
TXN-0000010,2026-03-01T09:07:30,ACC-00289,ACC-00081,1803.89,NET_BANKING,device-0059,103.46.138.122,0
TXN-0000011,2026-03-01T09:08:15,ACC-00141,ACC-00587,942.37,CARD,device-0020,103.118.154.26,0
TXN-0000012,2026-03-01T09:09:00,ACC-00060,ACC-00195,2910.21,CRYPTO,device-0104,103.61.183.27,0
TXN-0000013,2026-03-01T09:09:45,ACC-00502,ACC-00561,3005.1,CARD,device-0029,103.96.88.72,0
TXN-0000014,2026-03-01T09:10:30,ACC-00520,ACC-00124,614.34,CRYPTO,device-0000,103.113.139.191,0
TXN-0000015,2026-03-01T09:11:15,ACC-00491,ACC-00294,3487.64,NET_BANKING,device-0034,103.110.130.170,0
TXN-0000016,2026-03-01T09:12:00,ACC-00316,ACC-00355,910.1,UPI,device-0017,103.34.102.38,0
TXN-0000017,2026-03-01T09:12:45,ACC-00071,ACC-00409,2908.31,CARD,device-0106,103.80.40.160,0
TXN-0000018,2026-03-01T09:13:30,ACC-00359,ACC-00396,13474.71,NET_BANKING,device-0069,103.12.36.84,0
TXN-0000019,2026-03-01T09:14:15,ACC-00349,ACC-00217,311.13,CARD,device-0122,103.30.90.10,0
TXN-0000020,2026-03-01T09:15:00,ACC-00620,ACC-00533,3969.9,UPI,device-0029,103.116.148.12,0
TXN-0000021,2026-03-01T09:15:45,ACC-00036,ACC-00573,2512.06,CARD,device-0054,103.93.79.51,0
TXN-0000022,2026-03-01T09:16:30,ACC-00315,ACC-00489,5527.36,CRYPTO,device-0083,103.58.174.6,0
TXN-0000023,2026-03-01T09:17:15,ACC-00253,ACC-00200,536.04,UPI,device-0041,103.3.9.21,0
TXN-0000024,2026-03-01T09:18:00,ACC-00482,ACC-00451,336.68,NET_BANKING,device-0057,103.101.103.107,0
TXN-0000025,2026-03-01T09:18:45,ACC-00100,ACC-00586,2537.4,UPI,device-0062,103.98.94.86,0
TXN-0000026,2026-03-01T09:19:30,ACC-00103,ACC-00238,3429.89,UPI,device-0037,103.97.91.79,0
TXN-0000027,2026-03-01T09:20:15,ACC-00393,ACC-00599,962.08,UPI,device-0042,103.16.48.112,0
TXN-0000028,2026-03-01T09:21:00,ACC-00228,ACC-00567,5829.7,CARD,device-0087,103.64.192.48,0
TXN-0000029,2026-03-01T09:21:45,ACC-00166,ACC-00164,2994.73,CRYPTO,device-0032,103.101.103.107,0
TXN-0000030,2026-03-01T09:22:30,ACC-00460,ACC-00170,2869.62,UPI,device-0012,103.63.189.41,0
TXN-0000031,2026-03-01T09:23:15,ACC-00564,ACC-00440,550.76,UPI,device-0090,103.43.129.101,0
TXN-0000032,2026-03-01T09:24:00,ACC-00341,ACC-00110,2618.75,CARD,device-0107,103.2.6.14,0
TXN-0000033,2026-03-01T09:24:45,ACC-00474,ACC-00414,4054.3,CARD,device-0038,103.89.67.23,0
TXN-0000034,2026-03-01T09:25:30,ACC-00059,ACC-00406,3173.55,NET_BANKING,device-0010,103.107.121.149,0
TXN-0000035,2026-03-01T09:26:15,ACC-00259,ACC-00112,376.39,CARD,device-0023,103.46.138.122,0
TXN-0000036,2026-03-01T09:27:00,ACC-00423,ACC-00064,935.75,UPI,device-0073,103.112.136.184,0
TXN-0000037,2026-03-01T09:27:45,ACC-00106,ACC-00618,3920.18,NET_BANKING,device-0055,103.49.147.143,0
TXN-0000038,2026-03-01T09:28:30,ACC-00184,ACC-00014,4303.18,UPI,device-0119,103.59.177.13,0
TXN-0000039,2026-03-01T09:29:15,ACC-00301,ACC-00040,3694.4,UPI,device-0034,103.69.7.83,0
TXN-0000040,2026-03-01T09:30:00,ACC-00275,ACC-00586,915.61,UPI,device-0071,103.76.28.132,0
TXN-0000041,2026-03-01T09:30:45,ACC-00295,ACC-00596,1520.18,CARD,device-0068,103.73.19.111,0
TXN-0000042,2026-03-01T09:31:30,ACC-00177,ACC-00013,1732.48,CARD,device-0103,103.1.3.7,0
TXN-0000043,2026-03-01T09:32:15,ACC-00560,ACC-00188,1652.4,NET_BANKING,device-0039,103.15.45.105,0
TXN-0000044,2026-03-01T09:33:00,ACC-00074,ACC-00175,7161.62,UPI,device-0082,103.103.109.121,0
TXN-0000045,2026-03-01T09:33:45,ACC-00454,ACC-00200,517.31,UPI,device-0076,103.130.190.110,0
TXN-0000046,2026-03-01T09:34:30,ACC-00147,ACC-00023,2655.95,UPI,device-0069,103.77.31.139,0
TXN-0000047,2026-03-01T09:35:15,ACC-00231,ACC-00287,4949.39,CRYPTO,device-0120,103.45.135.115,0
TXN-0000048,2026-03-01T09:36:00,ACC-00396,ACC-00181,1085.46,NET_BANKING,device-0064,103.128.184.96,0
TXN-0000049,2026-03-01T09:36:45,ACC-00159,ACC-00112,3548.56,UPI,device-0066,103.6.18.42,0
TXN-0000050,2026-03-01T09:37:30,ACC-00605,ACC-00620,3056.02,UPI,device-0111,103.12.36.84,0
TXN-0000051,2026-03-01T09:38:15,ACC-00467,ACC-00139,2577.22,CRYPTO,device-0014,103.73.19.111,0
TXN-0000052,2026-03-01T09:39:00,ACC-00013,ACC-00482,2929.89,CARD,device-0082,103.58.174.6,0
TXN-0000053,2026-03-01T09:39:45,ACC-00233,ACC-00460,426.86,NET_BANKING,device-0047,103.37.111.59,0
TXN-0000054,2026-03-01T09:40:30,ACC-00592,ACC-00150,6301.17,UPI,device-0015,103.9.27.63,0
TXN-0000055,2026-03-01T09:41:15,ACC-00519,ACC-00466,1631.11,UPI,device-0045,103.85.55.195,0
TXN-0000056,2026-03-01T09:42:00,ACC-00027,ACC-00122,8890.1,CARD,device-0038,103.141.23.187,0
TXN-0000057,2026-03-01T09:42:45,ACC-00485,ACC-00312,5368.39,NET_BANKING,device-0054,103.20.60.140,0
TXN-0000058,2026-03-01T09:43:30,ACC-00108,ACC-00143,220.32,CARD,device-0016,103.2.6.14,0
TXN-0000059,2026-03-01T09:44:15,ACC-00423,ACC-00185,466.47,NET_BANKING,device-0115,103.98.94.86,0
TXN-0000060,2026-03-01T09:45:00,ACC-00260,ACC-00124,7375.01,CRYPTO,device-0100,103.3.9.21,0
TXN-0000061,2026-03-01T09:45:45,ACC-00447,ACC-00516,4525.05,UPI,device-0054,103.17.51.119,0
TXN-0000062,2026-03-01T09:46:30,ACC-00050,ACC-00248,831.93,CRYPTO,device-0037,103.18.54.126,0
TXN-0000063,2026-03-01T09:47:15,ACC-00305,ACC-00196,3407.07,CRYPTO,device-0065,103.40.120.80,0
TXN-0000064,2026-03-01T09:48:00,ACC-00311,ACC-00015,3696.87,NET_BANKING,device-0069,103.21.63.147,0
TXN-0000065,2026-03-01T09:48:45,ACC-00396,ACC-00452,1296.66,UPI,device-0093,103.59.177.13,0
TXN-0000066,2026-03-01T09:49:30,ACC-00103,ACC-00372,5264.24,UPI,device-0116,103.104.112.128,0
TXN-0000067,2026-03-01T09:50:15,ACC-00502,ACC-00396,1197.06,CRYPTO,device-0105,103.2.6.14,0
TXN-0000068,2026-03-01T09:51:00,ACC-00179,ACC-00518,292.96,CARD,device-0099,103.65.195.55,0
TXN-0000069,2026-03-01T09:51:45,ACC-00145,ACC-00478,5097.94,NET_BANKING,device-0116,103.123.169.61,0
TXN-0000070,2026-03-01T09:52:30,ACC-00181,ACC-00257,5466.39,UPI,device-0046,103.131.193.117,0
TXN-0000071,2026-03-01T09:53:15,ACC-00266,ACC-00601,3641.91,CRYPTO,device-0034,103.64.192.48,0
TXN-0000072,2026-03-01T09:54:00,ACC-00167,ACC-00147,955.03,CRYPTO,device-0093,103.119.157.33,0
TXN-0000073,2026-03-01T09:54:45,ACC-00510,ACC-00551,751.79,UPI,device-0059,103.84.52.188,0
TXN-0000074,2026-03-01T09:55:30,ACC-00120,ACC-00515,376.65,CARD,device-0038,103.131.193.117,0
TXN-0000075,2026-03-01T09:56:15,ACC-00089,ACC-00374,7918.08,UPI,device-0019,103.40.120.80,0
TXN-0000076,2026-03-01T09:57:00,ACC-00284,ACC-00072,701.8,NET_BANKING,device-0002,103.100.100.100,0
TXN-0000077,2026-03-01T09:57:45,ACC-00034,ACC-00268,227.88,NET_BANKING,device-0064,103.96.88.72,0
TXN-0000078,2026-03-01T09:58:30,ACC-00517,ACC-00198,1931.58,CRYPTO,device-0063,103.104.112.128,0
TXN-0000079,2026-03-01T09:59:15,ACC-00546,ACC-00335,1566.61,UPI,device-0061,103.25.75.175,0
TXN-0000080,2026-03-01T10:00:00,ACC-00142,ACC-00155,1440.83,NET_BANKING,device-0071,103.134.2.138,0
TXN-0000081,2026-03-01T10:00:45,ACC-00260,ACC-00004,303.74,CARD,device-0115,103.74.22.118,0
TXN-0000082,2026-03-01T10:01:30,ACC-00058,ACC-00520,386.3,UPI,device-0006,103.57.171.199,0
TXN-0000083,2026-03-01T10:02:15,ACC-00578,ACC-00523,835.49,CRYPTO,device-0100,103.128.184.96,0
TXN-0000084,2026-03-01T10:03:00,ACC-00200,ACC-00501,5848.42,NET_BANKING,device-0097,103.89.67.23,0
TXN-0000085,2026-03-01T10:03:45,ACC-00401,ACC-00461,2942.12,UPI,device-0103,103.76.28.132,0
TXN-0000086,2026-03-01T10:04:30,ACC-00604,ACC-00535,617.2,CRYPTO,device-0057,103.111.133.177,0
TXN-0000087,2026-03-01T10:05:15,ACC-00240,ACC-00156,1975.36,CARD,device-0007,103.19.57.133,0
TXN-0000088,2026-03-01T10:06:00,ACC-00103,ACC-00260,1245.21,NET_BANKING,device-0029,103.48.144.136,0
TXN-0000089,2026-03-01T10:06:45,ACC-00229,ACC-00460,2765.15,CARD,device-0054,103.53.159.171,0
