transaction_id,timestamp,sender_account,receiver_account,amount,transaction_type,device_id,ip_address,is_fraud,out_degree,in_degree,total_sent,total_received,avg_sent,shared_device_count,shared_ip_count,fraud_out,fraud_in,total_degree
TXN00000000,2024-04-10 00:54:35,ACC000099,ACC000367,1070.44,CASH_OUT,a568ed97-32e2,192.168.80.28,0,15,11,7490.739999999999,5150.990000000001,499.3826666666667,14,15,0,0,26
TXN00000001,2024-06-14 16:08:12,ACC000826,ACC000044,512.9,TRANSFER,8fb1cc99-313d,192.168.125.183,0,9,12,5324.58,7484.030000000001,591.62,9,9,0,0,21
TXN00000002,2024-12-16 02:05:48,ACC000996,ACC000944,855.96,CASH_OUT,c02a2f66-e4b0,192.168.42.192,0,8,8,3261.2200000000003,2867.63,407.6525,8,8,0,0,16
TXN00000003,2024-02-08 10:14:09,ACC000849,ACC000643,180.46,CASH_OUT,ac717d81-e3d1,192.168.127.7,0,13,9,6788.89,4869.96,522.2223076923076,13,13,0,0,22
TXN00000004,2024-04-26 08:01:16,ACC000591,ACC000196,235.55,TRANSFER,cc2bfbd8-8419,192.168.226.17,0,13,10,6527.46,4415.74,502.1123076923077,13,12,0,0,23
TXN00000005,2024-04-23 06:31:54,ACC000677,ACC000233,1543.62,TRANSFER,eda3e22c-06cb,192.168.209.15,0,9,13,4068.1099999999997,10101.15,452.0122222222222,9,7,0,0,22
TXN00000006,2024-07-29 18:09:39,ACC000875,ACC000238,598.38,CASH_OUT,03b97897-00a5,192.168.244.23,0,7,7,3691.51,3434.2,527.3585714285714,7,7,0,0,14
TXN00000007,2024-02-26 01:39:12,ACC000464,ACC000650,45.12,CASH_OUT,6db1c0a8-0fc2,192.168.40.211,0,17,14,11883.66,8017.57,699.0388235294117,17,16,0,0,31
TXN00000008,2024-06-05 16:18:52,ACC000363,ACC000214,5.58,TRANSFER,0ada9503-596c,192.168.153.8,0,11,9,7492.01,6047.91,681.0918181818182,11,11,0,0,20
TXN00000009,2024-08-03 18:25:11,ACC000623,ACC000650,346.32,PAYMENT,acea1d42-22e1,192.168.38.243,0,8,17,4707.099999999999,9926.28,588.3875,8,8,0,0,25
